Gode Wind 1;Ørsted Wind Power Germany GmbH / GIP;Offshore;;Nordsee;330,0;;2017;WEA;Wind (O)
Gode Wind 2;Ørsted Wind Power Germany GmbH;Offshore;;Nordsee;252,0;;2016;WEA;Wind (O)
Goldisthal A / Schwarzatal;Vattenfall Wasserkraft GmbH;TH;98746;Goldisthal;265,0;;2004;PSW;Wasser
Goldisthal B / Schwarzatal;Vattenfall Wasserkraft GmbH;TH;98746;Goldisthal;265,0;;2003;PSW;Wasser
Goldisthal C / Schwarzatal;Vattenfall Wasserkraft GmbH;TH;98746;Goldisthal;265,0;;2003;PSW;Wasser
Goldisthal D / Schwarzatal;Vattenfall Wasserkraft GmbH;TH;98746;Goldisthal;265,0;;2004;PSW;Wasser
Grevenbroich - Neurath  A;RWE Power AG;NW;41517;Grevenbroich;312,0;;1972;DKW;Braunkohle
Grevenbroich - Neurath  B;RWE Power AG;NW;41517;Grevenbroich;312,0;;1972;DKW;Braunkohle
Grevenbroich - Neurath  C;RWE Power AG;NW;41517;Grevenbroich;312,0;;1973;DKW;Braunkohle
Grevenbroich - Neurath  D;RWE Power AG;NW;41517;Grevenbroich;644,0;4,5;1975;DKW;Braunkohle
Grevenbroich - Neurath  E;RWE Power AG;NW;41517;Grevenbroich;644,0;4,5;1976;DKW;Braunkohle
Grevenbroich - Neurath  F (BoA 2);RWE Power AG;NW;41517;Grevenbroich;1100,0;;2012;DKW;Braunkohle
Grevenbroich - Neurath  G (BoA 3);RWE Power AG;NW;41517;Grevenbroich;1100,0;;2012;DKW;Braunkohle
Grohnde (KWG);GKK Grohnde GmbH & Co. OHG;NI;31857;Emmerthal;1430,0;;1985;DWR;Uran
Großkayna;envia THERM GmbH;ST;06242;Großkayna;129,0;;1994;GT;HEL
Gundremmingen C (KRB);Kernkraftwerk Gundremmingen GmbH;BY;89355;Gundremmingen;1344,0;;1985;SWR;Uran
Hagen-Kabel GuD;Mark-E AG Hagen;NW;58099;Hagen;251,0;108,0;1981 (2004);GuD;Erdgas
